====================================================================================================
RELATORIO SIGTAP - COMPETENCIA 06/2025
Valores extraidos do site SIGTAP para validacao
====================================================================================================

Total de procedimentos no SIGTAP para 06/2025: 125

==================================================================================================================================
TABELA COMPLETA DE PROCEDIMENTOS SIGTAP
==================================================================================================================================
Codigo       Nome                                               SA         SH         TA         SP         TH Complexidade          
                                                           Srv.Amb   Srv.Hosp    Tot.Amb   Srv.Prof   Tot.Hosp
----------------------------------------------------------------------------------------------------------------------------------
0302040021   ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTE C       0.00       4.67       4.67       0.00       4.67 Média Complexidade    
0302050019   ATENDIMENTO FISIOTERAPÊUTICO EM PACIENTES        0.00       6.35       6.35       0.00       6.35 Média Complexidade    
0302050027   ATENDIMENTO FISIOTERAPÊUTICO NAS ALTERAÇÕE       4.67       0.00       4.67       0.00       0.00 Média Complexidade    
0303030038   TRATAMENTO DE DIABETES MELLITUS                  0.00     310.79       0.00      50.01     360.80 Média Complexidade    
0303100010   TRATAMENTO DE COMPLICACOES RELACIONADAS PR       0.00     131.89       0.00      22.41     154.30 Média Complexidade    
0303100036   TRATAMENTO DE EDEMA, PROTEINURIA E TRANSTO       0.00      97.01       0.00      26.98     123.99 Média Complexidade    
0303100044   TRATAMENTO DE INTERCORRENCIAS CLINICAS NA        0.00      85.25       0.00      23.99     109.24 Média Complexidade    
0303150033   TRATAMENTO DE DOENCAS INFLAMATORIAS DOS OR       0.00     171.65       0.00      27.16     198.81 Média Complexidade    
0303150050   TRATAMENTO DE OUTRAS DOENCAS DO APARELHO U       0.00     188.00       0.00      30.68     218.68 Média Complexidade    
0305020013   TRATAMENTO DA PIELONEFRITE                       0.00     176.56       0.00      27.94     204.50 Média Complexidade    
0306020068   TRANSFUSAO DE CONCENTRADO DE HEMACIAS            0.00       8.39       8.09       0.00       8.39 Média Complexidade    
0306020106   TRANSFUSAO DE PLASMA FRESCO                      0.00       8.39       8.09       0.00       8.39 Alta Complexidade     
0310010020   ATENDIMENTO AO RECEM-NASCIDO NO MOMENTO DO       0.00       0.00       0.00      55.20      55.20 Média Complexidade    
0310010039   PARTO NORMAL                                     0.00     267.60       0.00     175.80     443.40 Média Complexidade    
0310010047   PARTO NORMAL EM GESTACAO DE ALTO RISCO           0.00     374.41       0.00     242.78     617.19 Média Complexidade    
0310010055   PARTO NORMAL EM CENTRO DE PARTO NORMAL (CP       0.00     267.60       0.00     175.80     443.40 Média Complexidade    
0401010015   CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO           0.00      32.40      32.40       0.00      32.40 Média Complexidade    
0407040161   LAPAROTOMIA EXPLORADORA                          0.00     497.20       0.00     139.99     637.19 Média Complexidade    
0409060011   CERCLAGEM DE COLO DO UTERO                       0.00      97.31      12.97      80.70     178.01 Média Complexidade    
0409060070   ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIR       0.00      66.32       0.00      76.52     142.84 Média Complexidade    
0409060135   HISTERECTOMIA TOTAL                              0.00     590.44       0.00     317.49     907.93 Média Complexidade    
0409060216   OOFORECTOMIA / OOFOROPLASTIA                     0.00     358.00       0.00     151.86     509.86 Média Complexidade    
0409070190   MARSUPIALIZACAO DE GLÂNDULA DE BARTOLIN          0.00      94.14       0.00      45.82     139.96 Média Complexidade    
0410010014   DRENAGEM DE ABSCESSO DE MAMA                     0.00     122.58      20.74      48.93     171.51 Média Complexidade    
0411010026   PARTO CESARIANO EM GESTACAO DE ALTO RISCO        0.00     660.79       0.00     230.15     890.94 Média Complexidade    
0411010034   PARTO CESARIANO                                  0.00     395.68       0.00     150.05     545.73 Média Complexidade    
0411010042   PARTO CESARIANO C/ LAQUEADURA TUBARIA            0.00     395.68       0.00     150.05     545.73 Média Complexidade    
0411020013   CURETAGEM POS-ABORTAMENTO / PUERPERAL            0.00     109.21      19.79      70.41     179.62 Média Complexidade    
0411020048   TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA        0.00     330.48       0.00     128.70     459.18 Média Complexidade    
0417010010   ANESTESIA OBSTETRICA P/ CESARIANA                0.00       0.00       0.00      61.18      61.18 Média Complexidade    
0417010036   ANESTESIA OBSTETRICA P/CESARIANA EM GESTAC       0.00       0.00       0.00      96.60      96.60 Média Complexidade    
0501070036   TIPAGEM SANGUINEA ABO E OUTROS EXAMES HEMA       0.00      15.00       0.00       0.00      15.00 Média Complexidade    
0503040045   DIARIA DE UNIDADE DE TERAPIA INTENSIVA DE        0.00     436.61       0.00      72.02     508.63 Não se Aplica         
0603030017   IMUNOGLOBULINA ANTI-RHO (D) (FRASCO AMPOLA       0.00      93.28       0.00       0.00      93.28 Alta Complexidade     
0603030025   IMUNOGLOBULINA G 250 MG INJETAVEL (POR FRA       0.00       0.00       0.00       0.00       0.00                       
0801010039   INCENTIVO AO PARTO - PHPN (COMPONENTE I)         0.00      40.00       0.00       0.00      40.00 Não se Aplica         
0801010047   INCENTIVO AO REGISTRO CIVIL DE NASCIMENTO        0.00       5.00       0.00       0.00       5.00 Não se Aplica         
0802010016   DIARIA DE ACOMPANHANTE ADULTO (COM PERNOIT       0.00       8.00       0.00       0.00       8.00 Não se Aplica         
0802010024   DIARIA DE ACOMPANHANTE CRIANCA/ADOLESCENTE       0.00       8.00       0.00       0.00       8.00 Não se Aplica         
0802010032   DIARIA DE ACOMPANHANTE DE GESTANTE C/ PERN       0.00       8.00       0.00       0.00       8.00 Não se Aplica         
0802010083   DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADU       0.00     510.00       0.00      90.00     600.00 Não se Aplica         
0802010199   DIÁRIA DE PERMANÊNCIA A MAIOR                    0.00      16.19       0.00       3.87      20.06 Não se Aplica         

==================================================================================================================================
DETALHAMENTO COMPLETO POR PROCEDIMENTO
==================================================================================================================================

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010040
